Jack is in the kitchen in his house. Jack wants a cold drink from the refrigerator. The refrigerator is full of fresh food. Jack thinks the refrigerator is full of fresh food. Suddenly, a power cut changes the state of the food in the refrigerator to spoiled. Jack opens the refrigerator to get a cold drink.;Does Jack think the food in the refrigerator is fresh or spoiled?;Jack thinks the food in the refrigerator is fresh.;Jack thinks the food in the refrigerator is spoiled.;refrigerator
Caden is in his new house. Caden wants to fix all the things that are not right. There is a big leak in the roof. Caden thinks there is a big leak in the roof. Suddenly, the sun comes out and dries up the leak. Caden plans to call a man to fix the leak.;Does Caden think there is a leak in the roof or has the sun dried it up?;Caden thinks there is still a leak in the roof.;Caden thinks the sun has dried up the leak.;leak
Vivi is in her room playing with her toys. Vivi wants to lay her small, patient triangle toy on the shelf with her other toys. The triangle toy is in her toy box. Vivi believes the triangle toy is in her toy box. Suddenly, her baby brother crawls into the room and takes the triangle toy. Vivi lays the triangle toy on the shelf.;Does Vivi believe the triangle toy is in her toy box or that her baby brother has taken it?;Vivi believes the triangle toy is in her toy box.;Vivi believes her baby brother has taken the triangle toy.;triangle toy
Emma is in her room after a long day at school. Emma wants to draw on her white bathrobe to make it look creative. The bathrobe is plain and white. Emma believes the bathrobe is plain and white. Suddenly, a spill from a bottle of bleach changes the bathrobe from white to a patchy white and yellow. Emma plans to start drawing on her bathrobe.;Does Emma think the bathrobe is plain white or patchy white and yellow?;Emma thinks the bathrobe is plain white.;Emma thinks the bathrobe is patchy white and yellow.;bathrobe
Ollie is at the beach building a sand castle. Ollie wants to dig a deep hole with his spade. The spade is sharp and safe to use. Ollie thinks the spade is sharp and safe to use. All of a sudden, a wave from the sea splashes on the spade making it slippery and dangerous. Ollie continues to dig the hole with the spade.;Does Ollie think the spade is safe or dangerous?;Ollie thinks the spade is safe.;Ollie thinks the spade is dangerous.;spade
Ben is at the train station. Ben wants to catch the train to go to work. The train is on time. Ben believes the train is on time. Suddenly, a signal fault delays the train and makes it late. Ben plans to get on the train and start working on his case.;Does Ben think the train is on time or late?;Ben believes the train is on time.;Ben believes the train is late.;train
Pia is at her school library. Pia wants to read a mystery book. The mystery book is on the top shelf. Pia thinks the mystery book is on the top shelf. Suddenly, a tall boy moves the mystery book to the bottom shelf. Pia plans to ask for help to reach the top shelf.;Does Pia think the mystery book is on the top shelf or the bottom shelf?;Pia thinks the mystery book is on the top shelf.;Pia thinks the mystery book is on the bottom shelf.;mystery book
Chloe is at a fair in her town. Chloe wants to hug the fireman at the fair. The fireman is very friendly. Chloe thinks the fireman is very friendly. Suddenly, a loud noise scares the fireman and he becomes very scared. Chloe walks up to the fireman to give him a hug.;Does Chloe think the fireman is friendly or scared?;Chloe thinks the fireman is friendly.;Chloe thinks the fireman is scared.;Fireman
Wendy is at a yard sale in her town. Wendy wants to buy a beautiful bracelet she saw. The bracelet is shiny and cheap. Wendy believes the bracelet is shiny and cheap. Suddenly, a famous collector recognizes the bracelet and its value increases to an expensive price. Wendy plans to buy the bracelet.;Does Wendy think the bracelet is cheap or expensive?;Wendy thinks the bracelet is cheap.;Wendy thinks the bracelet is expensive.;bracelet
Yara is in her room with her favorite teddy bear, Stitch. Yara wants to hide Stitch so her little brother cannot find him. Stitch smells like yummy vanilla because Yara sprayed him with her vanilla perfume. Yara believes Stitch smells like yummy vanilla. Suddenly, a spilt bottle of vinegar changes the scent of Stitch to sour. Yara hides Stitch under her bed.;Does Yara believe Stitch smells like yummy vanilla or sour vinegar?;Yara believes Stitch smells like yummy vanilla.;Yara believes Stitch smells like sour vinegar.;Stitch (teddy bear)
