Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. Tim believed the pasta box was full. While Tim was busy cutting vegetables, his little sister came into the kitchen and took some pasta to play with. Tim sees his sister leaving the kitchen with some pasta in her hand. Tim does not see his sister leaving the kitchen with some pasta in her hand. Tim decides to ask his sister to return the pasta. Tim starts boiling water to cook the pasta. Does Tim think the pasta box is full or not? Does Tim want to cook the pasta or ask his sister to return the pasta? What will Tim do next? Tim believes the pasta box is not full. Tim wants to ask his sister to return the pasta. Tim will ask his sister to return the pasta. Tim believes the pasta box is full. Tim wants to cook the pasta. Tim will start boiling water to cook the pasta. A bird flies into the kitchen through the open window. Tim sees the bird. Tim does not see the bird. Tim pasta box Lack of sight  > Tim was busy cutting vegetables and did not see his sister come into the kitchen. 
Fiona was at the park with her friends. They wanted to play a game of soccer. The ball they had was clean and shiny. Fiona believed the ball was clean and shiny. While they were playing, the ball rolled into a muddy puddle and got dirty. Fiona sees the ball in the muddy puddle. Fiona does not see the ball in the muddy puddle. Fiona decides to clean the ball before continuing the game. Fiona plans to kick the ball to score a goal. Does Fiona think the ball is clean or dirty? Does Fiona want to kick the ball or clean it? What will Fiona do next? Fiona believes the ball is dirty. Fiona wants to clean the ball. Fiona will clean the ball. Fiona believes the ball is clean. Fiona wants to kick the ball. Fiona will kick the ball. A squirrel runs across the field. Fiona sees the squirrel. Fiona does not see the squirrel. Fiona Ball Lack of sight  > Fiona was running in the opposite direction and did not see the ball roll into the muddy puddle. 
Olivia was at the park, sitting on a bench. Olivia wanted to feed the ducks with her bag of bread. The bread was fresh and smelled good. Olivia believed the bread was fresh and smelled good. While Olivia was watching the ducks, a naughty squirrel snuck over to the bench and took a piece of bread, dropping it into a muddy puddle. Olivia sees the squirrel run away with a piece of bread. Olivia does not see the squirrel run away with a piece of bread. Olivia decides to throw away the dirty bread. Olivia plans to start feeding the ducks with the bread. Does Olivia think the bread is fresh and smells good or is dirty and smells bad? Does Olivia want to feed the ducks or throw away the dirty bread? What will Olivia do next? Olivia believes the bread is dirty and smells bad. Olivia wants to throw away the dirty bread. Olivia will throw away the dirty bread. Olivia believes the bread is fresh and smells good. Olivia wants to feed the ducks. Olivia will start feeding the ducks with the bread. A colorful butterfly lands on the bench next to Olivia. Olivia sees the colorful butterfly. Olivia does not see the colorful butterfly. Olivia Bread Lack of sight  > Olivia was watching the ducks and did not see the squirrel take a piece of bread. 
Jill was at the park, watching the kids play. She wanted to take a video of her son first time on the swing. The camera was off. Jill believed the camera was off. As Jill was impatiently waiting for her son to gather courage and start swinging, a curious dog walked by and accidentally hit the camera with its tail, turning it on. Jill sees the dog walk away from the camera. Jill does not see the dog walk away from the camera. Jill decides to start recording right away. Jill plans to turn on the camera and start recording. Does Jill think the camera is off or on? Does Jill want to start recording right away or turn on the camera first? What will Jill do next? Jill believes the camera is on. Jill wants to start recording right away. Jill will start recording right away. Jill believes the camera is off. Jill wants to turn on the camera first. Jill will turn on the camera and start recording. A butterfly lands on the swing next to Jill son. Jill sees the butterfly. Jill does not see the butterfly. Jill Camera Lack of sight  > Jill was focused on her son and did not see the dog turn on the camera. 
Ben was at the ranch, looking after the animals. Ben wanted to ride his favorite horse. The saddle was not heavy. Ben believed the saddle was not heavy. As the day passed, the saddle got wet in the rain, making it heavy. Ben touches the saddle and feels it is heavy. Ben does not touch the saddle. Ben decides to dry the saddle before riding the horse. Ben plans to saddle up his horse for a ride. Does Ben think the saddle is heavy or not? Does Ben want to ride the horse or dry the saddle? What will Ben do next? Ben believes the saddle is heavy. Ben wants to dry the saddle before riding the horse. Ben will dry the saddle before riding the horse. Ben believes the saddle is not heavy. Ben wants to ride the horse. Ben will saddle up his horse for a ride. An unusual bird lands on the ranch fence. Ben sees the unusual bird. Ben does not see the unusual bird. Ben Saddle Lack of touch  > Ben was busy feeding the animals and did not touch the saddle. 
Fred was at a fun fair, excited to play games. Fred wanted to win a big teddy bear as a prize. The game machine was on. Fred believed the game machine was on. While Fred went to rest on a bench, a fair worker turned off the game machine for a routine check. Fred sees the worker turning off the game machine. Fred does not see the worker turning off the game machine. Fred decides to wait until the machine is turned back on. Fred walks up to the machine to play the game. Does Fred think the game machine is on or off? Does Fred want to play the game or wait until the machine is turned back on? What will Fred do next? Fred believes the game machine is off. Fred wants to wait until the machine is turned back on. Fred will wait until the machine is turned back on. Fred believes the game machine is on. Fred wants to play the game. Fred will walk up to the machine to play the game. A clown starts performing nearby. Fred sees the clown. Fred does not see the clown. Fred game machine Lack of sight  > Fred was resting on a bench and did not see the worker turn off the machine. 
Sam was at the beach, having a picnic. Sam wanted to visit his friend after eating his sandwich. The sandwich was tasty. Sam believed the sandwich was tasty. While Sam was busy looking at the sea, a seagull swooped down and dropped some salt on his sandwich. Sam sees the seagull flying away from his picnic spot. Sam does not see the seagull flying away from his picnic spot. Sam decides to dust off the extra salt from his sandwich. Sam starts eating his sandwich. Does Sam think his sandwich is tasty or too salty? Does Sam want to eat his sandwich or dust off the salt? What will Sam do next? Sam believes his sandwich is too salty. Sam wants to dust off the salt. Sam will dust off the salt from his sandwich. Sam believes his sandwich is tasty. Sam wants to eat his sandwich. Sam will start eating his sandwich. A dog runs across the beach, chasing a ball. Sam sees the dog. Sam does not see the dog. Sam Sandwich Lack of sight  > Sam was busy looking at the sea and did not see the seagull drop salt on his sandwich. 
Dave was in a lively party at his friend house. Dave wanted to go upstairs to get his coat. The door upstairs was unlocked. Dave believed the door upstairs was unlocked. While Dave was enjoying the party, his friend dad came and locked the upstairs door for safety. Dave sees his friend dad with a key in his hand. Dave does not see his friend dad with a key in his hand. Dave decides to ask his friend dad for the key. Dave starts walking towards the stairs to go upstairs. Does Dave think the upstairs door is locked or unlocked? Does Dave want to go upstairs or ask his friend dad for the key? What will Dave do next? Dave believes the upstairs door is locked. Dave wants to ask his friend dad for the key. Dave will ask his friend dad for the key. Dave believes the upstairs door is unlocked. Dave wants to go upstairs. Dave will start walking towards the stairs to go upstairs. A dog starts barking loudly at the party. Dave hears the dog barking. Dave does not hear the dog barking. Dave upstairs door Dave was in a different location  > Dave was downstairs enjoying the party and did not see his friend dad lock the door. 
Zara was in her garden, ready to plant some flowers. Zara wanted to dig holes with her spade. The spade was strong. Zara believed the spade was strong. While Zara was inside the house inviting her friend to come over, a naughty dog from the neighborhood came into her garden and started chewing on the spade handle, making it weak. Zara sees the dog leaving her garden. Zara does not see the dog leaving her garden. Zara decides to buy a new spade. Zara starts to dig holes with her spade. Does Zara think the spade is strong or weak? Does Zara want to dig holes with her spade or buy a new one? What will Zara do next? Zara believes the spade is weak. Zara wants to buy a new spade. Zara will buy a new spade. Zara believes the spade is strong. Zara wants to dig holes with her spade. Zara will start to dig holes with her spade. A butterfly lands on a flower in Zara garden. Zara sees the butterfly. Zara does not see the butterfly. Zara spade Lack of sight  > Zara was inside the house and did not see the dog come into her garden. 
Amy was at the park, sitting on the bench. Amy wanted to play with her red balloon. The balloon was big and full of air. Amy thought the balloon was big and full of air. While Amy was busy peeking at the birds in the trees, a sharp thorn on a bush nearby slowly deflated the balloon. Amy sees the balloon getting smaller. Amy does not see the balloon getting smaller. Amy decides to find a way to blow the balloon again. Amy starts running around the park with the balloon. Does Amy think the balloon is big and full of air or small and deflated? Does Amy want to run around the park with the balloon or find a way to blow the balloon again? What will Amy do next? Amy believes the balloon is small and deflated. Amy wants to find a way to blow the balloon again. Amy will find a way to blow the balloon again. Amy believes the balloon is big and full of air. Amy wants to run around the park with the balloon. Amy will start running around the park with the balloon. A dog starts barking loudly near Amy. Amy hears the dog barking. Amy does not hear the dog barking. Amy Red balloon Lack of sight  > Amy was busy looking at the birds and did not see the thorn on the bush. 
