Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. Tim believed the pasta box was full. While Tim was busy cutting vegetables, his little sister came into the kitchen and took some pasta to play with. Tim sees his sister leaving the kitchen with some pasta in her hand. Tim does not see his sister leaving the kitchen with some pasta in her hand. Tim decides to ask his sister to return the pasta. Tim starts boiling water to cook the pasta. Does Tim think the pasta box is full or not? Does Tim want to cook the pasta or ask his sister to return the pasta? What will Tim do next? Tim believes the pasta box is not full. Tim wants to ask his sister to return the pasta. Tim will ask his sister to return the pasta. Tim believes the pasta box is full. Tim wants to cook the pasta. Tim will start boiling water to cook the pasta. A bird flies into the kitchen through the open window. Tim sees the bird. Tim does not see the bird. Tim pasta box Lack of sight  > Tim was busy cutting vegetables and did not see his sister come into the kitchen. 
Fiona was at the park with her friends. They wanted to play a game of soccer. The ball they had was clean and shiny. Fiona believed the ball was clean and shiny. While they were playing, the ball rolled into a muddy puddle and got dirty. Fiona sees the ball in the muddy puddle. Fiona does not see the ball in the muddy puddle. Fiona decides to clean the ball before continuing the game. Fiona plans to kick the ball to score a goal. Does Fiona think the ball is clean or dirty? Does Fiona want to kick the ball or clean it? What will Fiona do next? Fiona believes the ball is dirty. Fiona wants to clean the ball. Fiona will clean the ball. Fiona believes the ball is clean. Fiona wants to kick the ball. Fiona will kick the ball. A squirrel runs across the field. Fiona sees the squirrel. Fiona does not see the squirrel. Fiona Ball Lack of sight  > Fiona was running in the opposite direction and did not see the ball roll into the muddy puddle. 
Olivia was at the park, sitting on a bench. Olivia wanted to feed the ducks with her bag of bread. The bread was fresh and smelled good. Olivia believed the bread was fresh and smelled good. While Olivia was watching the ducks, a naughty squirrel snuck over to the bench and took a piece of bread, dropping it into a muddy puddle. Olivia sees the squirrel run away with a piece of bread. Olivia does not see the squirrel run away with a piece of bread. Olivia decides to throw away the dirty bread. Olivia plans to start feeding the ducks with the bread. Does Olivia think the bread is fresh and smells good or is dirty and smells bad? Does Olivia want to feed the ducks or throw away the dirty bread? What will Olivia do next? Olivia believes the bread is dirty and smells bad. Olivia wants to throw away the dirty bread. Olivia will throw away the dirty bread. Olivia believes the bread is fresh and smells good. Olivia wants to feed the ducks. Olivia will start feeding the ducks with the bread. A colorful butterfly lands on the bench next to Olivia. Olivia sees the colorful butterfly. Olivia does not see the colorful butterfly. Olivia Bread Lack of sight  > Olivia was watching the ducks and did not see the squirrel take a piece of bread. 
Ina was at the park, sitting on a bench. Ina wanted to watch the birds play. A small, pink bird was awake on a tree branch. Ina believed the bird was awake. As Ina was busy staring at a photo in her hand, the little bird quietly fell asleep. Ina looks up and sees the bird asleep. Ina does not look up and does not see the bird asleep. Ina decides to take a photo of the sleeping bird. Ina continues to watch the bird. Does Ina think the bird is awake or asleep? Does Ina want to watch the bird or take a photo of the sleeping bird? What will Ina do next? Ina believes the bird is asleep. Ina wants to take a photo of the sleeping bird. Ina will take a photo of the sleeping bird. Ina believes the bird is awake. Ina wants to watch the bird. Ina will continue to watch the bird. A dog runs past Ina, chasing a ball. Ina sees the dog. Ina does not see the dog. Ina bird Lack of sight  > Ina was looking at her photo and did not see the bird fall asleep. 
Jill was at the park, watching the kids play. She wanted to take a video of her son first time on the swing. The camera was off. Jill believed the camera was off. As Jill was impatiently waiting for her son to gather courage and start swinging, a curious dog walked by and accidentally hit the camera with its tail, turning it on. Jill sees the dog walk away from the camera. Jill does not see the dog walk away from the camera. Jill decides to start recording right away. Jill plans to turn on the camera and start recording. Does Jill think the camera is off or on? Does Jill want to start recording right away or turn on the camera first? What will Jill do next? Jill believes the camera is on. Jill wants to start recording right away. Jill will start recording right away. Jill believes the camera is off. Jill wants to turn on the camera first. Jill will turn on the camera and start recording. A butterfly lands on the swing next to Jill son. Jill sees the butterfly. Jill does not see the butterfly. Jill Camera Lack of sight  > Jill was focused on her son and did not see the dog turn on the camera. 
Ben was at the ranch, looking after the animals. Ben wanted to ride his favorite horse. The saddle was not heavy. Ben believed the saddle was not heavy. As the day passed, the saddle got wet in the rain, making it heavy. Ben touches the saddle and feels it is heavy. Ben does not touch the saddle. Ben decides to dry the saddle before riding the horse. Ben plans to saddle up his horse for a ride. Does Ben think the saddle is heavy or not? Does Ben want to ride the horse or dry the saddle? What will Ben do next? Ben believes the saddle is heavy. Ben wants to dry the saddle before riding the horse. Ben will dry the saddle before riding the horse. Ben believes the saddle is not heavy. Ben wants to ride the horse. Ben will saddle up his horse for a ride. An unusual bird lands on the ranch fence. Ben sees the unusual bird. Ben does not see the unusual bird. Ben Saddle Lack of touch  > Ben was busy feeding the animals and did not touch the saddle. 
Fred was at a fun fair, excited to play games. Fred wanted to win a big teddy bear as a prize. The game machine was on. Fred believed the game machine was on. While Fred went to rest on a bench, a fair worker turned off the game machine for a routine check. Fred sees the worker turning off the game machine. Fred does not see the worker turning off the game machine. Fred decides to wait until the machine is turned back on. Fred walks up to the machine to play the game. Does Fred think the game machine is on or off? Does Fred want to play the game or wait until the machine is turned back on? What will Fred do next? Fred believes the game machine is off. Fred wants to wait until the machine is turned back on. Fred will wait until the machine is turned back on. Fred believes the game machine is on. Fred wants to play the game. Fred will walk up to the machine to play the game. A clown starts performing nearby. Fred sees the clown. Fred does not see the clown. Fred game machine Lack of sight  > Fred was resting on a bench and did not see the worker turn off the machine. 
Sam was at the beach, having a picnic. Sam wanted to visit his friend after eating his sandwich. The sandwich was tasty. Sam believed the sandwich was tasty. While Sam was busy looking at the sea, a seagull swooped down and dropped some salt on his sandwich. Sam sees the seagull flying away from his picnic spot. Sam does not see the seagull flying away from his picnic spot. Sam decides to dust off the extra salt from his sandwich. Sam starts eating his sandwich. Does Sam think his sandwich is tasty or too salty? Does Sam want to eat his sandwich or dust off the salt? What will Sam do next? Sam believes his sandwich is too salty. Sam wants to dust off the salt. Sam will dust off the salt from his sandwich. Sam believes his sandwich is tasty. Sam wants to eat his sandwich. Sam will start eating his sandwich. A dog runs across the beach, chasing a ball. Sam sees the dog. Sam does not see the dog. Sam Sandwich Lack of sight  > Sam was busy looking at the sea and did not see the seagull drop salt on his sandwich. 
Quin was at the park with his friends. Quin wanted to show his friends he was brave. The park gate was locked. Quin believed the gate was locked. While Quin was daring his friends to race, the park keeper came and unlocked the gate. Quin sees the park keeper unlocking the gate. Quin does not see the park keeper unlocking the gate. Quin decides to lead his friends through the gate. Quin plans to climb over the gate. Does Quin think the gate is locked or unlocked? Does Quin want to climb over the gate or lead his friends through it? What will Quin do next? Quin believes the gate is unlocked. Quin wants to lead his friends through the gate. Quin will lead his friends through the gate. Quin believes the gate is locked. Quin wants to climb over the gate. Quin will climb over the gate. A squirrel runs across the park. Quin sees the squirrel. Quin does not see the squirrel. Quin park gate Lack of sight  > Quin was busy daring his friends to race and did not see the park keeper unlock the gate. 
Xander was in the park, playing with his friends. He wanted to build a big sand structure. The sand was wet and good for building. Xander thought the sand was wet and good for building. While Xander was busy collecting sticks for decorations, a group of dogs ran through the park, kicking up sand and making it dry. Xander sees the dogs running through the park. Xander does not see the dogs running through the park. Xander decides to find another spot with wet sand. Xander starts building the sand structure. Does Xander believe the sand is wet and good for building or dry? Does Xander want to build the sand structure or find another spot with wet sand? What will Xander do next? Xander believes the sand is dry. Xander wants to find another spot with wet sand. Xander will find another spot with wet sand. Xander believes the sand is wet and good for building. Xander wants to build the sand structure. Xander will start building the sand structure. A butterfly lands on a nearby flower. Xander sees the butterfly. Xander does not see the butterfly. Xander Sand Lack of sight  > Xander was busy collecting sticks and did not see the dogs run through the park. 
