Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. While Tim was busy cutting vegetables, his little sister came into the kitchen and took some pasta to play with. Tim does not see his sister leaving the kitchen with some pasta in her hand.;pasta box
Fiona was at the park with her friends. They wanted to play a game of soccer. The ball they had was clean and shiny. While they were playing, the ball rolled into a muddy puddle and got dirty. Fiona does not see the ball in the muddy puddle.;Ball
Olivia was at the park, sitting on a bench. Olivia wanted to feed the ducks with her bag of bread. The bread was fresh and smelled good. While Olivia was watching the ducks, a naughty squirrel snuck over to the bench and took a piece of bread, dropping it into a muddy puddle. Olivia does not see the squirrel run away with a piece of bread.;Bread
Ina was at the park, sitting on a bench. Ina wanted to watch the birds play. A small, pink bird was awake on a tree branch. As Ina was busy staring at a photo in her hand, the little bird quietly fell asleep. Ina does not look up and does not see the bird asleep.;bird
John was at the park, sitting on a bench. John wanted to propose to his girlfriend and marry her. His ring box was in his cap. While John was busy looking at the squirrels, a hairy dog came and picked up the cap, shaking it and making the ring fall out. John does not see the dog with his cap in its mouth.;Cap
Jill was at the park, watching the kids play. She wanted to take a video of her son's first time on the swing. The camera was off. As Jill was impatiently waiting for her son to gather courage and start swinging, a curious dog walked by and accidentally hit the camera with its tail, turning it on. Jill does not see the dog walk away from the camera.;Camera
Ben was at the ranch, looking after the animals. Ben wanted to ride his favorite horse. The saddle was not heavy. As the day passed, the saddle got wet in the rain, making it heavy. Ben does not touch the saddle.;Saddle
Vinny was in the gloomy hall of his school. He wanted to zoom around on his new roller skates. The hall was empty. While Vinny was putting on his skates, a janitor came in and started mopping the floor, making it slippery. Vinny does not see the janitor mopping the floor.;hall
Fred was at a fun fair, excited to play games. Fred wanted to win a big teddy bear as a prize. The game machine was on. While Fred went to rest on a bench, a fair worker turned off the game machine for a routine check. Fred does not see the worker turning off the game machine.;game machine
Sam was at the beach, having a picnic. Sam wanted to visit his friend after eating his sandwich. The sandwich was tasty. While Sam was busy looking at the sea, a seagull swooped down and dropped some salt on his sandwich. Sam does not see the seagull flying away from his picnic spot.;Sandwich
Quin was at the park with his friends. Quin wanted to show his friends he was brave. The park's gate was locked. While Quin was daring his friends to race, the park keeper came and unlocked the gate. Quin does not see the park keeper unlocking the gate.;park's gate
Sam was in the park, near the big inflatable castle. Sam wanted to jump and play in the castle. The castle was big and inflated. While Sam was playfully chasing a butterfly, a sharp stick slowly poked a hole in the castle and it started to deflate. Sam does not see the castle starting to deflate.;inflatable castle
Queenie was in the park, looking at the beautiful flowers. Queenie wanted to pick a green leaf to make a print for her art project. The leaf she saw was fresh and green. While Queenie was wandering around the park, the sun got hotter and the leaf dried up in the heat. Queenie does not see the leaf dried up when she returns to it.;Leaf
Xander was in the park, playing with his friends. He wanted to build a big sand structure. The sand was wet and good for building. While Xander was busy collecting sticks for decorations, a group of dogs ran through the park, kicking up sand and making it dry. Xander does not see the dogs running through the park.;Sand
Bella was in the library, looking for a good book to read. Bella wanted to find an attractive book to read before her nap. The book shelf was full of books. While Bella was reading the book summary, the librarian came and removed some books from the shelf for restocking. Bella does not see the librarian carrying away some books.;book shelf
Zara was at a birthday party. Zara wanted to give her friend a gift. The gift was securely wrapped. While Zara was busy hanging decorations, a foolish cat jumped on the table and tore the wrapping paper of the gift. Zara does not see the cat running away with a piece of wrapping paper in its mouth.;gift
Dave was in a lively party at his friend's house. Dave wanted to go upstairs to get his coat. The door upstairs was unlocked. While Dave was enjoying the party, his friend's dad came and locked the upstairs door for safety. Dave does not see his friend's dad with a key in his hand.;upstairs door
